Date,Confirmed,Recovered,Deaths,Increase rate
2020-01-22,555,28,17,
2020-01-31,9927,222,213,20.5610881709983
2020-02-01,12038,284,259,21.2652362244384
2020-02-15,69050,9395,1666,3.2014108925689
2020-02-29,86011,39782,2942,2.2528413143753863
2020-03-01,88395,42716,2996,2.771738498564137
2020-03-15,168973,76032,6471,7.064198094079481
2020-03-31,872076,177825,44489,9.603275746355882
2020-04-14,1985901,473436,133011,3.6448697146179434
2020-04-30,3269608,1013284,234720,2.6266468921898665
2020-05-15,4542815,1632122,308882,2.167280489955128
2020-05-30,6078719,2560888,370734,2.3200059250381675
2020-06-15,8044535,3857365,437565,1.5096473809060231
2020-06-30,10450359,5353115,511224,1.6914155931860335
2020-07-15,13560727,7559178,583977,1.733876945218494
2020-07-27,16487669,9572619,654055,1.4436381539594392
2020-07-28,16740006,9746473,660390,1.5304589144772376
